attraction_id,city,name,category,tags,duration_hours,price_level,rating,description
AMS_A01,Amsterdam,Rijksmuseum,museum,"art,history,dutch masters,rembrandt,vermeer",3.0,2,9.6,"The Netherlands' premier art and history museum. Home to Rembrandt's Night Watch, Vermeer's Milkmaid, and an unparalleled collection of Dutch Golden Age masterpieces."
AMS_A02,Amsterdam,Van Gogh Museum,museum,"art,impressionism,van gogh,post-impressionism",2.5,2,9.4,"The world's largest collection of Van Gogh works. Over 200 paintings and 500 drawings tracing the artist's turbulent life. Book well in advance."
AMS_A03,Amsterdam,Anne Frank House,museum,"history,world war ii,jewish heritage,biography",2.0,2,9.5,"The secret annex where Anne Frank and her family hid during WWII. A profoundly moving historical site. Timed-entry tickets required."
AMS_A04,Amsterdam,Canal Cruise,outdoor,"canals,boat,sightseeing,romantic,photography",1.5,1,9.0,"Iconic boat tour through Amsterdam's UNESCO-listed canal belt. Daytime and evening options available, with hop-on hop-off variants for flexible exploring."
AMS_A05,Amsterdam,Vondelpark,outdoor,"park,relaxation,cycling,picnic,locals",2.0,0,8.8,"Amsterdam's beloved urban park. Rent a bike and cycle its paths, join locals for a picnic, or catch an open-air theatre performance in summer."
AMS_A06,Amsterdam,Stedelijk Museum,museum,"modern art,contemporary,design,photography",2.5,2,8.9,"World-class modern and contemporary art museum housed in a striking building. Strong collection of Mondrian, Malevich, and rotating international exhibitions."
AMS_A07,Amsterdam,Jordaan Neighbourhood Walk,outdoor,"walking,neighbourhood,architecture,local life,photography",2.0,0,9.1,"Self-guided stroll through Amsterdam's most charming neighbourhood. Narrow bridges, independent galleries, artisan coffee shops, and hidden hofjes (courtyards)."
AMS_A08,Amsterdam,Heineken Experience,food_drink,"beer,brewing,interactive,tour",1.5,2,8.4,"Interactive brewery tour inside the original Heineken factory. Includes tastings, interactive exhibits, and a souvenir glass. Popular with groups."
AMS_A09,Amsterdam,Day Trip to Keukenhof,day_trip,"flowers,gardens,tulips,windmills,cycling",6.0,2,9.7,"The world's largest flower garden, open March-May. Over 7 million bulbs. Combine with a visit to the nearby windmills at Kinderdijk. Seasonal."
AMS_A10,Amsterdam,FOAM Photography Museum,museum,"photography,contemporary art,exhibitions",1.5,1,8.7,"Intimate photography museum in a beautiful canal house. Rotating exhibitions featuring both emerging and established photographers from around the world."
PAR_A01,Paris,Louvre Museum,museum,"art,history,ancient,mona lisa,renaissance",4.0,2,9.4,"The world's most visited museum. Home to the Mona Lisa, Venus de Milo, and over 35,000 works spanning millennia. Arrive early to beat the crowds."
PAR_A02,Paris,Eiffel Tower,landmark,"iconic,views,romantic,photography,engineering",2.5,2,9.3,"Paris's defining icon. Take the stairs for the best experience, or queue for the glass-floor summit. Magical at dusk when the twinkling lights begin."
PAR_A03,Paris,Musée d'Orsay,museum,"impressionism,post-impressionism,monet,degas,renoir",3.0,2,9.6,"Housed in a converted Belle Époque railway station, this is the world's finest Impressionist collection. Monets, Degases, Renoirs, and Van Goghs under one roof."
PAR_A04,Paris,Montmartre Walk,outdoor,"art,bohemian,history,views,sacre-coeur,neighbourhood",3.0,0,9.0,"Walk the winding lanes of Paris's artistic hilltop village. Visit the Sacré-Cœur, the original Moulin Rouge, and the vineyard. Best at sunrise or sunset."
PAR_A05,Paris,Seine River Cruise,outdoor,"river,romantic,sightseeing,boat,evening",1.5,1,9.1,"Classic Paris experience. A Bateaux Mouches or Vedettes du Pont Neuf cruise past Notre-Dame, the Louvre, and the Eiffel Tower. Evening sailings are especially romantic."
PAR_A06,Paris,Centre Pompidou,museum,"modern art,contemporary,architecture,kandinsky,picasso",2.5,2,8.8,"Inside-out architectural marvel housing Europe's largest modern art museum. Strong Picasso, Matisse, and Kandinsky collections plus cutting-edge temporary shows."
PAR_A07,Paris,Versailles Day Trip,day_trip,"palace,gardens,history,baroque,royal",7.0,2,9.5,"The Sun King's impossibly grand palace and 800-hectare gardens. Buy a passport ticket to access the Grand Trianon and Marie Antoinette's estate. Full day minimum."
PAR_A08,Paris,Le Marais Food Walk,food_drink,"food,jewish quarter,falafel,patisserie,local,walking",2.5,1,9.0,"Guided or self-guided food walk through the historic Marais. L'As du Fallafel, Pierre Hermé macarons, and artisanal cheese shops are essential stops."
